equity,timestamp_ms
1000.0000,59999
1000.0000,119999
1000.0000,179999
1000.0000,239999
1000.0000,299999
1000.0000,359999
1000.0000,419999
1000.0000,479999
1000.0000,539999
1000.0000,599999
1000.0000,659999
1000.0000,719999
1000.0000,779999
999.979990865562565,839999
999.974172855014206,899999
999.966516013957194,959999
999.981462033234688,1019999
999.918646533961540,1079999
999.869615221961540,1139999
999.911914775961540,1199999
999.989179281961540,1259999
1000.012690197961540,1319999
1000.057385943558216,1379999
1000.072501918642056,1439999
1000.083827529970250,1499999
1000.008386889970250,1559999
999.850362825970250,1619999
999.6927445876965237262737263,1679999
999.5491989155846356143856144,1739999
999.5787175159202999500499501,1799999
999.5375018017904298201798202,1859999
999.5423778344207994505494506,1919999
999.4840404627204997502497503,1979999
999.4221117724907295204795205,2039999
999.4036199224907295204795205,2099999
999.3854910424907295204795205,2159999
999.3705209824907295204795205,2219999
999.3663615424907295204795205,2279999
999.3612407224907295204795205,2339999
999.3594258724907295204795205,2399999
999.3436513924907295204795205,2459999
999.3362252224907295204795205,2519999
999.3136916524907295204795205,2579999
999.2856448624907295204795205,2639999
999.2594227324907295204795205,2699999
999.2607078424907295204795205,2759999
999.2403128524907295204795205,2819999
999.2157289924907295204795205,2879999
999.2037313624907295204795205,2939999
999.1794319924907295204795205,2999999
999.1814136124907295204795205,3059999
999.1883885224907295204795205,3119999
999.1816981024907295204795205,3179999
999.1911745624907295204795205,3239999
999.1761260224907295204795205,3299999
999.1799715424907295204795205,3359999
999.1690628224907295204795205,3419999
999.1821689824907295204795205,3479999
999.1902524224907295204795205,3539999
999.1885651024907295204795205,3599999
999.1704166024907295204795205,3659999
999.1765282324907295204795205,3719999
999.1920084124907295204795205,3779999
999.1879765024907295204795205,3839999
999.1786275724907295204795205,3899999
999.1746783928134285204795205,3959999
999.1706814100383105204795205,4019999
999.1969413780383105204795205,4079999
999.2139763345163665204795205,4139999
999.2501012670677605204795205,4199999
999.3345419647335055204795205,4259999
999.4345898443090055204795205,4319999
999.3428769516926405204795205,4379999
999.4396172128206405204795205,4439999
999.6060204300412905204795205,4499999
999.6304999691531505204795205,4559999
999.8453501391531505204795205,4619999
1000.039052753153150520479520,4679999
1000.182361191153150520479520,4739999
1000.102157960153150520479520,4799999
1000.000019764153150520479520,4859999
1000.152552136153150520479520,4919999
1000.163463375153150520479520,4979999
1000.300135080153150520479520,5039999
1000.267288876153150520479520,5099999
1000.086522267153150520479520,5159999
999.8914698091531505204795205,5219999
999.8420880161531505204795205,5279999
999.7828073671531505204795205,5339999
999.7163275501531505204795205,5399999
999.7270138151531505204795205,5459999
999.7246515881531505204795205,5519999
999.6552471091531505204795205,5579999
999.6117146401531505204795205,5639999
999.4754928831531505204795205,5699999
999.4959655171531505204795205,5759999
999.3842659261531505204795205,5819999
999.0988864071531505204795205,5879999
998.7857225991531505204795205,5939999
998.7137309191531505204795205,5999999
998.4337507761531505204795205,6059999
998.1508459711531505204795205,6119999
997.9017997531531505204795205,6179999
997.7649030741531505204795205,6239999
997.5008960851531505204795205,6299999
997.3146176131531505204795205,6359999
997.2902079341531505204795205,6419999
997.1591605791531505204795205,6479999
997.1104537081531505204795205,6539999
997.2166414361531505204795205,6599999
996.9755817951531505204795205,6659999
997.0170894981531505204795205,6719999
996.9240627491531505204795205,6779999
996.7746800131531505204795205,6839999
996.7616315211531505204795205,6899999
996.5507183961531505204795205,6959999
996.3555534511531505204795205,7019999
996.4648908151531505204795205,7079999
996.2854740501531505204795205,7139999
996.2246185831531505204795205,7199999
