fee,model_version,notional,price,quantity,realized_pnl,side,timestamp_ms
0.010009567002435,rule-baseline-0.1,10.009567002435,99.4492499,0.10065,0,BUY,839999
0.010009830189359,rule-baseline-0.1,10.009830189359,99.5903909,0.10051,0,BUY,899999
0.010009032045012,rule-baseline-0.1,10.009032045012,99.6518523,0.10044,0,BUY,959999
0.010009710216506,rule-baseline-0.1,10.009710216506,99.7678682,0.10033,0,BUY,1019999
0.010009977125148,rule-baseline-0.1,10.009977125148,99.6612617,0.10044,0,BUY,1079999
0.010009755079324,rule-baseline-0.1,10.009755079324,99.9775777,0.10012,0,BUY,1379999
0.01000959575616,rule-baseline-0.1,10.009595756160,100.0359360,0.10006,0,BUY,1439999
0.010009058865806,rule-baseline-0.1,10.009058865806,100.0805806,0.10001,0,BUY,1499999
0.009989599136863136863136863137,rule-baseline-0.1,9.989599136863136863136863137,99.41878121878121878121878122,0.10048,-0.04592046699521750179644916494,SELL,1679999
0.009989796055944055944055944056,rule-baseline-0.1,9.989796055944055944055944056,99.24295704295704295704295704,0.10066,-0.06368349205521322153723469563,SELL,1739999
0.009989132832167832167832167833,rule-baseline-0.1,9.989132832167832167832167833,99.32517482517482517482517483,0.10057,-0.05536617899674383319531345818,SELL,1799999
0.009989837064935064935064935065,rule-baseline-0.1,9.989837064935064935064935065,99.28281718281718281718281718,0.10062,-0.05965146913500993250170881798,SELL,1859999
0.009989125184815184815184815184,rule-baseline-0.1,9.989125184815184815184815184,99.34485514485514485514485514,0.10055,-0.05337829123294588498124682403,SELL,1919999
0.00998916585014985014985014985,rule-baseline-0.1,9.989165850149850149850149850,99.21698301698301698301698302,0.10068,-0.06630859511271746345759503643,SELL,1979999
0.009989745114885114885114885115,rule-baseline-0.1,9.989745114885114885114885115,99.00639360639360639360639361,0.10090,-0.08768071180220718152461573498,SELL,2039999
0.010009074376301,rule-baseline-0.1,10.009074376301,96.8838871,0.10331,0,BUY,3959999
0.010009538657118,rule-baseline-0.1,10.009538657118,96.9634666,0.10323,0,BUY,4019999
0.010009633577944,rule-baseline-0.1,10.009633577944,97.1714744,0.10301,0,BUY,4139999
0.010009235842606,rule-baseline-0.1,10.009235842606,97.3093121,0.10286,0,BUY,4199999
0.010009824079255,rule-baseline-0.1,10.009824079255,97.5141167,0.10265,0,BUY,4259999
0.0100094239245,rule-baseline-0.1,10.009423924500,97.7101125,0.10244,0,BUY,4319999
0.010009886251365,rule-baseline-0.1,10.009886251365,97.6098123,0.10255,0,BUY,4379999
0.010009871872,rule-baseline-0.1,10.009871872000,97.7526550,0.10240,0,BUY,4439999
0.01000907842935,rule-baseline-0.1,10.009078429350,97.9553575,0.10218,0,BUY,4499999
0.01000960774814,rule-baseline-0.1,10.009607748140,97.9989010,0.10214,0,BUY,4559999
