fee,model_version,notional,price,quantity,realized_pnl,side,timestamp_ms
0.010009883631748,rule-baseline-0.1,10.009883631748,99.9090092,0.10019,0,BUY,659999
0.010009953014061,rule-baseline-0.1,10.009953014061,99.9695697,0.10013,0,BUY,779999
0.010009989587598,rule-baseline-0.1,10.009989587598,100.0798799,0.10002,0,BUY,839999
0.010009561358797,rule-baseline-0.1,10.009561358797,100.2660659,0.09983,0,BUY,899999
0.010009152909756,rule-baseline-0.1,10.009152909756,100.3725723,0.09972,0,BUY,959999
0.010009128521392,rule-baseline-0.1,10.009128521392,100.5336332,0.09956,0,BUY,1019999
0.010009027782754,rule-baseline-0.1,10.009027782754,100.4720717,0.09962,0,BUY,1079999
0.010009807695888,rule-baseline-0.1,10.009807695888,100.4194191,0.09968,0,BUY,1139999
0.010009627893265,rule-baseline-0.1,10.009627893265,100.5487483,0.09955,0,BUY,1199999
0.010009288674385,rule-baseline-0.1,10.009288674385,100.7477471,0.09935,0,BUY,1259999
0.010009342557214,rule-baseline-0.1,10.009342557214,100.8396389,0.09926,0,BUY,1319999
0.010009438882443,rule-baseline-0.1,10.009438882443,101.0136127,0.09909,0,BUY,1379999
0.01000957341384,rule-baseline-0.1,10.009573413840,101.1170160,0.09899,0,BUY,1439999
0.01000934318384,rule-baseline-0.1,10.009343183840,101.2067056,0.09890,0,BUY,1499999
0.01000955012057,rule-baseline-0.1,10.009550120570,101.1576566,0.09895,0,BUY,1559999
0.009989310009990009990009990005,rule-baseline-0.1,9.989310009990009990009990005,100.5466533466533466533466533,0.09935,-0.01282459875071596623012045346,SELL,1739999
0.009989863771228771228771228774,rule-baseline-0.1,9.989863771228771228771228774,100.6738261738261738261738262,0.09923,-0.000202368265164416603465650917,SELL,1799999
